family_id,country,doc_number,kind,title,abstract,publication_date
100485570,US,D1133705,S,Air fryer,,20260714
100485197,US,D1133703,S,Air fryer,,20260714
100485976,US,D1133707,S,Air fryer,,20260714
98328459,EP,4775893,A1,INTELLIGENT NETWORKED FRESH AIR PURIFIER,"An intelligent networked fresh air purifier includes a main body (1), a filtering module (2), a host driving controller (3) and a gas detection module (4). The main body (1) has an air guiding path (L) therein and an externally attached gas exchange channel (12). A covering plate (13) is disposed at the other end of the gas exchange channel (12) and is positioned and sealed on window for facilitating the gas exchange channel (12) to guide air from outdoor field (B). The purifying module is disposed in the air guiding path (L) and includes an air guiding fan (21) and a filtering component (22). The air guiding fan (21) guides air to flow through the filtering component (22). The host driving controller (3) controls enablement of the air guiding fan (21). The gas detection module (4) is electrically connected to the host driving controller (3) and detects humidity, temperature and air pollution to generate detection data, which is transmitted to a networked cloud computing service device (5) through IoT communication.",20260715
100485357,US,D1135272,S,Vacuum cleaner,,20260714
100485356,US,D1135270,S,Vacuum cleaner,,20260714
100485359,US,D1135273,S,Vacuum cleaner,,20260714
100485295,US,D1134780,S,Air purifier,,20260714
100485792,US,D1135159,S,Nail vacuum cleaner,,20260714
100485820,US,D1135160,S,Nail vacuum cleaner,,20260714
100486379,US,D1134781,S,Air purifier,,20260714
100486387,US,D1134783,S,Air purifier,,20260714
100486582,US,D1135283,S,Vacuum cleaner head,,20260714
100486378,US,D1134779,S,Desktop air purifier,,20260714
100485350,US,D1135280,S,Base station for vacuum cleaner,,20260714
100486584,US,D1135274,S,Handheld vacuum cleaner extension kit,,20260714
100486579,US,D1135281,S,Extension hose for vacuum cleaner,,20260714
100485952,US,D1133694,S,Coffee machine,,20260714
100485766,US,D1134774,S,Combined humidifier and air purifier,,20260714
100485958,US,D1133693,S,Coffee machine,,20260714
100487408,PL,132539,U1,,,
97522718,EP,4776271,A1,"STAGE CIRCUIT, DISPLAY DEVICE INCLUDING THE SAME, AND ELECTRONIC DEVICE INCLUDING THE SAME","[0001]    A stage circuit includes a first input terminal configured to receive a clock signal, a second input terminal configured to receive a driving signal, an output terminal configured to output a carry signal, an input circuit configured to transmit the driving signal to a first node in response to the clock signal, a voltage control circuit that controls voltages of a first control node and a second control node in response to the driving signal transmitted to the first node, and a carry driver circuit including a boosting capacitor connected between the first control node and the output terminal, and a buffer capacitor configured to maintain the voltage of the output terminal.",20260715
100435014,WO,2026146861,A1,STATION AND CLEANING DEVICE,"This cleaning device comprises: a robot cleaner comprising a main body and a wet mop separably mountable on the lower portion of the main body; and a station provided so that the robot cleaner is mounted thereon. The station comprises: a base comprising a cleaner seating portion on which the robot cleaner is mounted, and a side wall portion upwardly extending from the cleaner seating portion; a wash chamber provided so as to correspond to the wet mop so as to wash the wet mop while the robot cleaner is mounted on the station; a drying device comprising a drying fan for blowing dry air to the wash chamber so as to dry the wet mop; and a blowing device comprising a blower fan provided so as to blow air. The side wall portion comprises an inner wall facing the robot cleaner when the robot cleaner is mounted on the station, and the blowing device is positioned higher than the inner wall so as to blow air to the inner wall, and is provided so as to blow air downward toward the base.",20260709
